id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
5618	0423031L	2003-04-23 00:00:00	2003-03-18 00:00:00	SYR	Syracuse-Hancock International	USAir	Passenger Property Loss	Checked Baggage	698.48	Electronics	Stereo Items & Accessories	Settled	349.24	Settle
11567	0723164M	2003-07-23 00:00:00	2003-07-14 00:00:00	SYR	Syracuse-Hancock International	American Airlines	Passenger Property Loss	Checked Baggage	66.95	Other	Other	Approved	66.95	Approve in Full
11995	0729013M	2003-07-29 00:00:00	2003-07-17 00:00:00	SYR	Syracuse-Hancock International	Northwest Airlines	Passenger Property Loss	Checked Baggage	596.9	Electronics	Cameras - Digital	Settled	298.45	Settle
14533	0827001M	2003-08-27 00:00:00	2003-08-19 00:00:00	SYR	Syracuse-Hancock International	American Airlines	Passenger Property Loss	Checked Baggage	22500.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
26120	0130148M	2004-01-30 00:00:00	2004-01-05 00:00:00	SYR	Syracuse-Hancock International	USAir	Passenger Property Loss	Checked Baggage	335.0	Watches & Jewelry	Jewelry - Fine	Settled	167.5	Settle
33923	2004051852672	2004-05-03 00:00:00	2004-03-24 00:00:00	SYR	Syracuse-Hancock International		Passenger Property Loss	Checkpoint	3.95	Other	Currency	Denied	3.95	Deny
37982	2004070158163	2004-06-16 00:00:00	2004-05-29 00:00:00	SYR	Syracuse-Hancock International		Passenger Property Loss	Checked Baggage	20.0	Other	Other	Denied	0.0	Deny
39274	2004071959724	2004-07-06 00:00:00	2004-05-20 00:00:00	SYR	Syracuse-Hancock International		Passenger Property Loss	Checked Baggage	2009.0	Electronics	Computer - Laptop	Settled	1824.18	Settle
40123	2004080560677	2004-07-13 00:00:00	2004-06-28 00:00:00	SYR	Syracuse-Hancock International		Passenger Property Loss	Checkpoint	172.13	Electronics	Cameras - Digital	Denied	0.0	Deny
42251	2004120168154	2004-08-10 00:00:00	2004-06-28 00:00:00	SYR	Syracuse-Hancock International		Passenger Property Loss	Checked Baggage	19.17	Other	Other	Approved	19.17	Approve in Full
42952	2004101965136	2004-08-19 00:00:00	2004-08-10 00:00:00	SYR	Syracuse-Hancock International		Passenger Property Loss	Checked Baggage	260.25	Other	Other	Settled	102.12	Settle
43122	2004100664717	2004-08-24 00:00:00	2004-08-09 00:00:00	SYR	Syracuse-Hancock International	USAir	Passenger Theft	Checked Baggage	100.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	100.0	Approve in Full
43298	2004100564545	2004-08-24 00:00:00	2004-08-12 00:00:00	SYR	Syracuse-Hancock International	Jet Blue	Passenger Theft	Checked Baggage	832.66	Electronics	Cameras - Digital	Settled	752.23	Settle
44085	2004101465038	2004-09-09 00:00:00	2004-08-29 00:00:00	SYR	Syracuse-Hancock International	Continental Airlines	Passenger Property Loss	Checked Baggage	73.61	Other	Other	Approved	73.61	Approve in Full
44229	2004101364881	2004-09-09 00:00:00	2004-07-22 00:00:00	SYR	Syracuse-Hancock International	USAir	Passenger Property Loss	Checked Baggage	72.0	Other	Other	Denied		Deny
44400	2004102265570	2004-09-09 00:00:00	2004-07-27 00:00:00	SYR	Syracuse-Hancock International		Passenger Property Loss	Checked Baggage	365.7	Other	Other	Settled	261.65	Settle
45126	2004092363697	2004-09-16 00:00:00	2004-07-15 00:00:00	SYR	Syracuse-Hancock International	Jet Blue	Passenger Property Loss	Checked Baggage	600.0	Other	Other	Settled	129.62	Settle
45254	2004110366199	2004-09-17 00:00:00	2004-07-22 00:00:00	SYR	Syracuse-Hancock International	UAL	Passenger Property Loss	Checked Baggage	15.0	Tools & Machines	Locks	Denied	0.0	Deny
