id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
1375	24613	2003-01-14 00:00:00	2002-12-26 00:00:00	DSM	Des Moines International	Delta Air Lines	Passenger Property Loss	Checkpoint	471.21	Other	Canceled	0.0	
1398	0617667L	2003-01-14 00:00:00	2002-12-26 00:00:00	DSM	Des Moines International	Delta Air Lines	Passenger Property Loss	Checkpoint	471.21	Other	Denied	0.0	Deny
1805	26879	2003-01-24 00:00:00	2002-12-31 00:00:00	DSM	Des Moines International	Northwest Airlines	Passenger Property Loss	Checked Baggage	35.0	Other	Approved	35.0	Approve in Full
2385	0210019L	2003-02-10 00:00:00	2003-01-05 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	100.0	Other	Settled	50.0	Settle
3097	0228005L	2003-02-28 00:00:00	2003-01-11 00:00:00	DSM	Des Moines International	American Airlines	Passenger Property Loss	Checked Baggage	80.0	Clothing & Accessories	Settled	40.0	Settle
3336	0306033L	2003-03-06 00:00:00	2002-12-30 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	84.0	Other	Settled	42.0	Settle
8499	0616034L	2003-06-16 00:00:00	2003-05-07 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Approved	75.0	Approve in Full
8613	0616058L	2003-06-16 00:00:00	2003-05-14 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	100.0	Watches & Jewelry	Settled	50.0	Settle
8958	0619072L	2003-06-19 00:00:00	2003-04-23 00:00:00	DSM	Des Moines International	UAL	Passenger Property Loss	Checked Baggage	118.0	Other	Canceled		
10053	0707002M	2003-07-07 00:00:00	2003-06-24 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checkpoint	7.99	Other	Approved	8.0	Approve in Full
13106	0813000M	2003-08-13 00:00:00	2003-06-26 00:00:00	DSM	Des Moines International	Northwest Airlines	Passenger Property Loss	Checkpoint	64.95	Other	Denied	0.0	Deny
13852	0820000M	2003-08-20 00:00:00	2003-08-13 00:00:00	DSM	Des Moines International	UAL	Passenger Property Loss	Checked Baggage	50.0	Clothing & Accessories	Settled	25.0	Settle
13886	0821068M	2003-08-21 00:00:00	2003-07-30 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	75.0	Clothing & Accessories	Approved	75.0	Approve in Full
15237	0905064M	2003-09-05 00:00:00	2003-05-19 00:00:00	DSM	Des Moines International	UAL	Passenger Property Loss	Checked Baggage	130.0	Clothing & Accessories	Settled	65.0	Settle
16142	0922068M	2003-09-22 00:00:00	2003-08-03 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	904.18	Other	Denied	0.0	Deny
18233	1021343M	2003-10-21 00:00:00	2003-08-21 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	284.04	Electronics	Approved	284.04	Approve in Full
18379	1021292M	2003-10-21 00:00:00	2003-09-04 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	400.0	Other	Denied	0.0	Deny
18393	1021317M	2003-10-21 00:00:00	2003-09-14 00:00:00	DSM	Des Moines International		Passenger Property Loss	Checked Baggage	4500.0	Other	Denied	0.0	Deny
18716	1022164M	2003-10-22 00:00:00	2003-10-08 00:00:00	DSM	Des Moines International	UAL	Passenger Property Loss	Checked Baggage	835.0	Cosmetics	Denied	835.0	Deny
