id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
177	24657	2002-11-05 00:00:00	2002-10-17 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	73.83	Clothing & Accessories	Approved	74.0	Approve in Full
222	19827	2002-11-13 00:00:00	2002-10-22 00:00:00	LAS	McCarran International	American Airlines	Passenger Property Loss	Checkpoint	100.0	Other	Approved	100.0	Approve in Full
540	0715510M	2002-12-10 00:00:00	2002-11-17 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	147.0	Watches & Jewelry	Approved	147.0	Approve in Full
551	21605	2002-12-10 00:00:00	2002-11-17 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Other	125.0	Clothing & Accessories	Canceled		
593	2004070158183	2002-12-11 00:00:00	2002-09-27 00:00:00	LAS	McCarran International		Passenger Theft	Checkpoint	500.0	Watches & Jewelry	Settled	350.0	Settle
681	0715531M	2002-12-13 00:00:00	2002-10-11 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checkpoint	119.0	Clothing & Accessories	Settled	107.1	Settle
714	35973	2002-12-16 00:00:00	2002-12-03 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	18.86	Watches & Jewelry	Approved	19.0	Approve in Full
793	0714559M	2002-12-18 00:00:00	2002-11-11 00:00:00	LAS	McCarran International	Delta Air Lines	Passenger Property Loss	Checkpoint	820.0	Other	Denied	0.0	Deny
1159	0703524M	2003-01-07 00:00:00	2002-12-14 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checkpoint	100.0	Other	Denied	0.0	Deny
1328	0616721L	2003-01-14 00:00:00	2002-01-08 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint	70.0	Other	Approved	70.0	Approve in Full
1331	0617527L	2003-01-14 00:00:00	2002-12-15 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	238.15	Clothing & Accessories	Approved	238.15	Approve in Full
1491	0617662L	2003-01-21 00:00:00	2003-01-02 00:00:00	LAS	McCarran International	Delta Air Lines	Passenger Property Loss	Checked Baggage	66.59	Clothing & Accessories	Approved	67.0	Approve in Full
1657	27649	2003-01-22 00:00:00	2003-01-13 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint	271.24	Electronics	Approved	271.0	Approve in Full
1859	0127061L	2003-01-27 00:00:00	2003-01-11 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	68.0	Other	Approved	68.0	Approve in Full
1888	0127041L	2003-01-27 00:00:00	2002-11-24 00:00:00	LAS	McCarran International	Continental Airlines	Passenger Property Loss	Checked Baggage	4045.0	Clothing & Accessories	Denied	0.0	Deny
1890	0127044L	2003-01-27 00:00:00	2002-12-17 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	9200.0	Clothing & Accessories	Denied		Deny
1943	0128034L	2003-01-28 00:00:00	2002-11-10 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	177.51	Clothing & Accessories	Denied	0.0	Deny
2496	0211083L	2003-02-11 00:00:00	2003-01-12 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	89.0	Clothing & Accessories	Settled	55.0	Settle
2540	0212062L	2003-02-12 00:00:00	2003-01-17 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	8.35	Other	Approved	8.35	Approve in Full
2704	0221037L	2003-02-21 00:00:00	2003-01-08 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	250000.0	Other	Denied	250000.0	Deny
2716	0221046L	2003-02-21 00:00:00	2003-01-11 00:00:00	LAS	McCarran International	Delta Air Lines	Passenger Property Loss	Checked Baggage	150.0	Cosmetics	Settled	75.0	Settle
2785	0224039L	2003-02-24 00:00:00	2003-02-08 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss		354.5	Other	Denied	0.0	Deny
2804	0628502M	2003-02-24 00:00:00	2003-05-30 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	790.0	Other	Denied	0.0	Deny
2894	0225020L	2003-02-25 00:00:00	2003-01-31 00:00:00	LAS	McCarran International		Passenger Property Loss	Other	500.0	Other	Denied	0.0	Deny
2943	0225052L	2003-02-25 00:00:00	2003-01-14 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	50.0	Other	Settled	25.0	Settle
3058	0227012L	2003-02-27 00:00:00	2003-01-28 00:00:00	LAS	McCarran International	Alaska Airlines	Passenger Property Loss	Checked Baggage	13.75	Other	Settled	7.0	Settle
3283	0305022L	2003-03-05 00:00:00	2003-07-02 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	600.0	Electronics	Settled	300.0	Settle
3291	0305046L	2003-03-05 00:00:00	2002-12-31 00:00:00	LAS	McCarran International	Northwest Airlines	Passenger Theft	Checked Baggage	75.0	Other	Settled	37.5	Settle
3357	0310009L	2003-03-10 00:00:00	2003-01-29 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	90.0	Clothing & Accessories	Approved	90.0	Approve in Full
3485	0311116L	2003-03-11 00:00:00	2003-02-24 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	179.99	Electronics	Denied	0.0	Deny
3527	0311048L	2003-03-11 00:00:00	2003-01-02 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	973.0	Other	Settled	486.5	Settle
3529	0311053L	2003-03-11 00:00:00	2003-01-15 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	320.0	Electronics	Settled	160.0	Settle
3589	0313001L	2003-03-13 00:00:00	2003-02-22 00:00:00	LAS	McCarran International	Delta Air Lines	Passenger Property Loss	Checked Baggage	916.0	Watches & Jewelry	Approved	916.2	Approve in Full
3596	0313038L	2003-03-13 00:00:00	2003-02-14 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	360.0	Other	Approved	300.0	Approve in Full
3775	0318026L	2003-03-18 00:00:00	2003-02-26 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	211.09	Other	Approved	211.0	Approve in Full
3918	0318151L	2003-03-18 00:00:00	2003-03-31 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	202.54	Electronics	Settled	101.27	Settle
4092	0325111L	2003-03-25 00:00:00	2003-03-17 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	14.95	Watches & Jewelry	Approved	15.0	Approve in Full
4097	0325126L	2003-03-25 00:00:00	2003-02-02 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	27.95	Other	Approved	28.0	Approve in Full
4175	0325052L	2003-03-25 00:00:00	2003-02-24 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	675.0	Containers	Settled	337.5	Settle
4222	0326043L	2003-03-26 00:00:00		LAS	McCarran International	Northwest Airlines	Passenger Property Loss	Checked Baggage	23.42	Other	Approved	23.42	Approve in Full
4286	0326022L	2003-03-26 00:00:00	2003-03-16 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	288.0	Clothing & Accessories	Settled	237.5	Settle
4468	1023801M	2003-04-01 00:00:00		LAS	McCarran International		Passenger Property Loss	Checkpoint	198.0	Containers	Denied	0.0	Deny
4502	0401070L	2003-04-01 00:00:00	2003-03-08 00:00:00	LAS	McCarran International	Spirit Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Settled	12.5	Settle
4841	0408140L	2003-04-08 00:00:00	2003-03-29 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Settled	20.0	Settle
4867	0409017L	2003-04-09 00:00:00	2003-03-09 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	250.0	Other	Canceled	0.0	
4885	0409053L	2003-04-09 00:00:00	2003-01-19 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	250.0	Electronics	Denied	250.0	Deny
4945	0410002L	2003-04-10 00:00:00	2003-03-11 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	2175.0	Electronics	Denied	0.0	Deny
5093	0415045L	2003-04-15 00:00:00	2003-04-02 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage		Clothing & Accessories	Settled	112.5	Settle
5405	0421054L	2003-04-21 00:00:00	2003-04-03 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	525.0	Clothing & Accessories	Settled	262.5	Settle
5468	0422001L	2003-04-22 00:00:00	2003-04-03 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	150.0	Other	Denied	0.0	Deny
5552	0422098L	2003-04-22 00:00:00	2003-04-06 00:00:00	LAS	McCarran International	Frontier Airlines	Passenger Property Loss	Checked Baggage	1500.0	Watches & Jewelry	Settled	600.0	Settle
5739	0428111L	2003-04-28 00:00:00	2003-08-14 00:00:00	LAS	McCarran International	Alaska Airlines	Passenger Property Loss	Checked Baggage	824.0	Other	Denied	0.0	Deny
5813	0429005L	2003-04-29 00:00:00	2003-04-02 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1417.49	Other	Denied	1417.49	Deny
5835	0429021L	2003-04-29 00:00:00	2003-03-24 00:00:00	LAS	McCarran International	USAir	Passenger Property Loss	Checked Baggage	150.0	Electronics	Settled	75.0	Settle
5928	0502023L	2003-05-02 00:00:00	2003-04-13 00:00:00	LAS	McCarran International	Northwest Airlines	Passenger Property Loss	Checked Baggage	115.0	Clothing & Accessories	Approved	115.0	Approve in Full
5961	0502017L	2003-05-02 00:00:00	2003-04-22 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	600.0	Watches & Jewelry	Settled	300.0	Settle
6024	0505099L	2003-05-05 00:00:00	2003-04-12 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	8.5	Other	Denied	0.0	Deny
6070	0506001L	2003-05-06 00:00:00	2003-04-13 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	106.18	Other	Approved	106.18	Approve in Full
6098	0506090L	2003-05-06 00:00:00	2003-04-12 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	47.0	Other	Approved	47.0	Approve in Full
6106	0506120L	2003-05-06 00:00:00	2003-03-25 00:00:00	LAS	McCarran International	Japan Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Approved	200.0	Approve in Full
6411	0514089L	2003-05-14 00:00:00	2003-04-26 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	172.72	Outdoors Supplies	Approved	172.72	Approve in Full
6461	0514037L	2003-05-14 00:00:00	2003-03-21 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	900.0	Watches & Jewelry	Denied	0.0	Deny
6525	0514027L	2003-05-14 00:00:00	2003-04-13 00:00:00	LAS	McCarran International	American Airlines	Passenger Property Loss	Checked Baggage	250.0	Clothing & Accessories	Settled	125.0	Settle
6533	0514065L	2003-05-14 00:00:00	2003-04-19 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	150.0	Clothing & Accessories	Settled	75.0	Settle
6586	0515003L	2003-05-15 00:00:00	2003-04-19 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	40.0	Other	Settled	20.0	Settle
6617	0516035L	2003-05-16 00:00:00	2003-05-08 00:00:00	LAS	McCarran International		Passenger Theft	Checkpoint	400.0	Electronics	Denied	0.0	Deny
6710	0520205L	2003-05-20 00:00:00	2003-04-21 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	5000.0	Electronics	Canceled		
6847	0520128L	2003-05-20 00:00:00	2003-01-22 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1026.0	Watches & Jewelry	Settled	513.0	Settle
6866	0520183L	2003-05-20 00:00:00	2003-05-02 00:00:00	LAS	McCarran International	Jet Blue	Passenger Property Loss	Checked Baggage	400.0	Other	Settled	200.0	Settle
7015	0527049L	2003-05-27 00:00:00	2003-03-29 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	20.0	Other	Settled	10.0	Settle
7240	0529128L	2003-05-29 00:00:00	2003-05-04 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint	660.0	Electronics	Denied	660.0	Deny
7268	0529057L	2003-05-29 00:00:00		LAS	McCarran International	USAir	Passenger Property Loss	Checked Baggage	62.0	Other	Settled	31.0	Settle
7472	0603160L	2003-06-03 00:00:00	2003-04-17 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	65.0	Clothing & Accessories	Approved	65.0	Approve in Full
7478	0603176L	2003-06-03 00:00:00	2003-04-19 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	10.0	Other	Approved	10.0	Approve in Full
7882	0605057L	2003-06-05 00:00:00	2003-05-16 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	60.0	Other	Settled	30.0	Settle
8139	0610171L	2003-06-10 00:00:00	2003-06-04 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint	50.0	Other	Approved	50.0	Approve in Full
8173	0610001L	2003-06-10 00:00:00	2003-05-22 00:00:00	LAS	McCarran International	USAir	Passenger Property Loss	Checked Baggage	52.0	Other	Denied	0.0	Deny
8195	0610100L	2003-06-10 00:00:00	2003-05-31 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	160.0	Other	Denied		Deny
8198	0610105L	2003-06-10 00:00:00	2003-05-14 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	225.0	Clothing & Accessories	Denied	0.0	Deny
8525	0616657L	2003-06-16 00:00:00	2002-10-20 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checkpoint	100.0	Other	Approved	100.0	Approve in Full
8558	0616049L	2003-06-16 00:00:00	2003-06-06 00:00:00	LAS	McCarran International	Continental Airlines	Passenger Property Loss	Checkpoint	50.0	Clothing & Accessories	Denied	0.0	Deny
8665	0617100L	2003-06-17 00:00:00	2003-06-02 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint	74.99	Clothing & Accessories	Approved	75.0	Approve in Full
8682	0617137L	2003-06-17 00:00:00	2003-05-16 00:00:00	LAS	McCarran International	Continental Airlines	Passenger Property Loss	Checked Baggage	10.0	Other	Approved	10.0	Approve in Full
8851	0618113L	2003-06-18 00:00:00	2003-06-12 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	521.24	Tools & Machines	Approved	521.0	Approve in Full
8853	0618024L	2003-06-18 00:00:00	2003-06-05 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	85.0	Cosmetics	Canceled	0.0	
8902	0618046L	2003-06-18 00:00:00	2003-06-03 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	160.0	Other	Settled	80.0	Settle
8953	0619085L	2003-06-19 00:00:00	2003-03-31 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	2044.79	Watches & Jewelry	Approved	0.0	Approve in Full
8976	0619081L	2003-06-19 00:00:00	2003-03-24 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	700.0	Watches & Jewelry	Denied	0.0	Deny
8982	0619080L	2003-06-19 00:00:00	2003-05-12 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint		Containers	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
9005	0619082L	2003-06-19 00:00:00	2003-04-20 00:00:00	LAS	McCarran International	American Airlines	Passenger Property Loss	Checked Baggage	1900.0	Clothing & Accessories	Settled	414.5	Settle
9043	0620030M	2003-06-20 00:00:00	2003-05-27 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	45.0	Watches & Jewelry	Settled	22.5	Settle
9055	0623038M	2003-06-23 00:00:00	2003-06-14 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	78.12	Other	Approved	78.12	Approve in Full
9427	0625178M	2003-06-25 00:00:00	2003-05-10 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint		Watches & Jewelry	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
9458	0625097M	2003-06-25 00:00:00	2003-05-24 00:00:00	LAS	McCarran International	Aloha Airlines	Passenger Property Loss	Checked Baggage	1550.0	Other	Settled	1014.25	Settle
9471	0625126M	2003-06-25 00:00:00	2003-06-10 00:00:00	LAS	McCarran International	Continental Airlines	Passenger Property Loss	Checked Baggage	109.0	Clothing & Accessories	Settled	54.5	Settle
9489	0625187M	2003-06-25 00:00:00	2003-05-28 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	342.38	Electronics	Settled	85.6	Settle
9548	0626031M	2003-06-26 00:00:00	2003-06-15 00:00:00	LAS	McCarran International	Jet Blue	Passenger Property Loss	Checked Baggage	200.0	Containers	Settled	50.0	Settle
9708	0701205M	2003-07-01 00:00:00	2003-04-06 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checkpoint	197.37	Other	Approved	197.0	Approve in Full
9722	0701221M	2003-07-01 00:00:00	2003-04-26 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	2000.0	Other	Canceled	0.0	
9869	0701201M	2003-07-01 00:00:00	2003-05-15 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	450.0	Electronics	Settled	225.0	Settle
9882	0701232M	2003-07-01 00:00:00	2003-05-27 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	850.0	Watches & Jewelry	Settled	425.0	Settle
10333	0708049M	2003-07-08 00:00:00	2003-06-23 00:00:00	LAS	McCarran International	Delta Air Lines	Passenger Property Loss	Checked Baggage	200.0	Watches & Jewelry	Settled	100.0	Settle
10349	0708106M	2003-07-08 00:00:00	2003-05-23 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	800.0	Watches & Jewelry	Settled	250.0	Settle
10414	0709100M	2003-07-09 00:00:00	2003-06-27 00:00:00	LAS	McCarran International	Frontier Airlines	Passenger Property Loss	Checked Baggage	215.0	Clothing & Accessories	Approved	215.0	Approve in Full
10454	0714519M	2003-07-09 00:00:00	2003-03-12 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	686.34	Electronics	Denied	0.0	Deny
10802	0715070M	2003-07-15 00:00:00	2003-05-04 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	140.0	Other	Approved	140.0	Approve in Full
10899	0715068M	2003-07-15 00:00:00	2003-05-10 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	200.0	Electronics	Denied	0.0	Deny
10900	0715069M	2003-07-15 00:00:00	2003-05-16 00:00:00	LAS	McCarran International	Continental Airlines	Passenger Property Loss	Checkpoint	1425.0	Watches & Jewelry	Denied	0.0	Deny
11056	0716053M	2003-07-16 00:00:00	2003-03-02 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	1236.0	Other	Denied	0.0	Deny
11099	0717075M	2003-07-17 00:00:00	2003-05-03 00:00:00	LAS	McCarran International	American Airlines	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Approved	20.0	Approve in Full
11344	0721140M	2003-07-21 00:00:00	2003-07-03 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	500.0	Other	Denied	0.0	Deny
11351	0721162M	2003-07-21 00:00:00	2003-05-31 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	10200.0	Watches & Jewelry	Denied	0.0	Deny
11399	0721126M	2003-07-21 00:00:00	2003-06-07 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	40.0	Clothing & Accessories	Settled	20.0	Settle
11518	0723026M	2003-07-23 00:00:00	2003-06-19 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint	75.76	Clothing & Accessories	Approved	76.0	Approve in Full
11572	0723173M	2003-07-23 00:00:00	2003-05-16 00:00:00	LAS	McCarran International	Delta Air Lines	Passenger Property Loss	Checked Baggage	91.16	Clothing & Accessories	Approved	91.16	Approve in Full
11660	0723127M	2003-07-23 00:00:00	2003-06-30 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	291.0	Clothing & Accessories	Settled	145.5	Settle
11672	0723150M	2003-07-23 00:00:00	2003-06-06 00:00:00	LAS	McCarran International	Sun Country Airlines Inc	Passenger Property Loss	Checked Baggage	150.0	Other	Settled	2.0	Settle
11773	0728024M	2003-07-28 00:00:00	2003-06-02 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	1800.0	Watches & Jewelry	Denied	1800.0	Deny
11939	0729156M	2003-07-29 00:00:00	2003-07-02 00:00:00	LAS	McCarran International	Continental Airlines	Passenger Property Loss	Checked Baggage	2201.0	Watches & Jewelry	Denied	0.0	Deny
11967	0729255M	2003-07-29 00:00:00	2003-07-05 00:00:00	LAS	McCarran International	USAir	Passenger Property Loss	Checkpoint	500.0	Clothing & Accessories	Denied	500.0	Deny
11968	0729256M	2003-07-29 00:00:00	2003-07-25 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	100.0	Other	Denied	0.0	Deny
12147	0731041M	2003-07-31 00:00:00	2003-07-06 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint	25.0	Clothing & Accessories	Approved	25.0	Approve in Full
12545	0805017M	2003-08-05 00:00:00		LAS	McCarran International		Passenger Property Loss	Other	530.0	Other	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
12643	0806073M	2003-08-06 00:00:00	2003-06-18 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	946.0	Electronics	Denied	0.0	Deny
12732	0807014M	2003-08-07 00:00:00	2003-05-29 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	300.0	Watches & Jewelry	Approved	300.0	Approve in Full
12767	0808006M	2003-08-08 00:00:00	2003-07-25 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	40.0	Other	Approved	40.0	Approve in Full
12902	0811052M	2003-08-11 00:00:00	2003-06-20 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	1800.0	Clothing & Accessories	Denied	1800.0	Deny
12954	0812069M	2003-08-12 00:00:00	2003-07-30 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	192.4	Other	Approved	192.4	Approve in Full
13142	0813177M	2003-08-13 00:00:00	2003-05-12 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	491.99	Electronics	Denied	0.0	Deny
13183	0813101M	2003-08-13 00:00:00	2003-04-21 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	2416.0	Watches & Jewelry	Settled	1208.0	Settle
13338	0814149M	2003-08-14 00:00:00	2003-08-04 00:00:00	LAS	McCarran International	USAir	Passenger Property Loss	Checked Baggage	978.88	Electronics	Denied	0.0	Deny
13500	0815113M	2003-08-15 00:00:00	2003-07-29 00:00:00	LAS	McCarran International	Northwest Airlines	Passenger Property Loss	Checked Baggage	6.5	Tools & Machines	Denied	0.0	Deny
13531	0815023M	2003-08-15 00:00:00	2003-07-20 00:00:00	LAS	McCarran International	Continental Airlines	Passenger Property Loss	Checked Baggage	47.75	Other	Settled	23.87	Settle
13545	0815059M	2003-08-15 00:00:00	2003-07-02 00:00:00	LAS	McCarran International	UAL	Passenger Property Loss	Checked Baggage	1972.6	Electronics	Settled	311.3	Settle
13755	0819099M	2003-08-19 00:00:00	2003-08-08 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	204.0	Other	Denied	0.0	Deny
13760	0819112M	2003-08-19 00:00:00	2003-08-10 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	43.5	Cosmetics	Denied	0.0	Deny
13796	0819078M	2003-08-19 00:00:00	2003-08-04 00:00:00	LAS	McCarran International	AirTran Airlines	Passenger Property Loss	Checked Baggage	345.0	Other	Settled	177.0	Settle
13807	0819126M	2003-08-19 00:00:00	2003-07-28 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	1600.0	Electronics	Settled	839.44	Settle
13980	0821179M	2003-08-21 00:00:00	2003-06-11 00:00:00	LAS	McCarran International	Continental Airlines	Passenger Property Loss	Checkpoint	150.0	Clothing & Accessories	Denied	0.0	Deny
14056	0822013M	2003-08-22 00:00:00	2003-08-06 00:00:00	LAS	McCarran International	America Trans Air	Passenger Property Loss	Checked Baggage	84.79	Other	Approved	84.79	Approve in Full
14176	0825033M	2003-08-25 00:00:00	2003-07-19 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	325.0	Containers	Denied	0.0	Deny
14276	0826131M	2003-08-26 00:00:00	2003-07-30 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	300.0	Other	Approved	300.0	Approve in Full
14385	0826168M	2003-08-26 00:00:00	2003-08-19 00:00:00	LAS	McCarran International	America West	Passenger Property Loss	Checked Baggage	800.0	Other	Denied	0.0	Deny
14712	0829119M	2003-08-29 00:00:00	2003-08-19 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	60.0	Other	Denied	0.0	Deny
14745	0829093M	2003-08-29 00:00:00	2003-08-17 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	191.69	Electronics	Settled	95.85	Settle
14963	0903077M	2003-09-03 00:00:00	2003-08-13 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	300.0	Cosmetics	Settled	150.0	Settle
14983	0903133M	2003-09-03 00:00:00	2003-08-15 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	98.5	Clothing & Accessories	Settled	49.25	Settle
15308	0908075M	2003-09-08 00:00:00	2003-08-12 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	20.57	Electronics	Approved	20.57	Approve in Full
15334	0908069M	2003-09-08 00:00:00	2003-08-04 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	500.0	Other	Denied	0.0	Deny
15359	0908037M	2003-09-08 00:00:00	2003-08-17 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	25.0	Other	Settled	12.5	Settle
15837	0915033M	2003-09-15 00:00:00	2003-07-26 00:00:00	LAS	McCarran International		Passenger Property Loss	Checked Baggage	115.0	Clothing & Accessories	Approved	115.0	Approve in Full
15881	0915068M	2003-09-15 00:00:00	2003-07-29 00:00:00	LAS	McCarran International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1205.0	Electronics	Denied	0.0	Deny
16186	0923039M	2003-09-23 00:00:00	2003-06-14 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	36.84	Supplies	Approved	37.0	Approve in Full
16187	0923040M	2003-09-23 00:00:00	2003-08-09 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checked Baggage	129.0	Other	Approved	129.0	Approve in Full
16189	0923043M	2003-09-23 00:00:00	2003-08-25 00:00:00	LAS	McCarran International		Passenger Property Loss	Checkpoint	75.0	Watches & Jewelry	Approved	75.0	Approve in Full
16241	0923022M	2003-09-23 00:00:00	2003-08-16 00:00:00	LAS	McCarran International	Southwest Airlines	Passenger Property Loss	Checkpoint	550.0	Other	Denied	0.0	Deny
