id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items_new	items_old	status	close_amount	disposition
22	16410	2002-07-24 00:00:00	2002-07-10 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checkpoint	600.0	Containers	Luggage (all types including footlockers)	Settled	337.4	Settle
3304	0306011L	2003-03-06 00:00:00	2002-11-22 00:00:00	SDF	Louisville International		Passenger Property Loss	Checkpoint	460.0	Electronics	Cameras - Digital	Approved	460.0	Approve in Full
4876	0409016L	2003-04-09 00:00:00	2003-03-23 00:00:00	SDF	Louisville International		Passenger Property Loss	Checkpoint	109.85	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
6401	0514063L	2003-05-14 00:00:00	2003-05-06 00:00:00	SDF	Louisville International	Southwest Airlines	Passenger Property Loss	Checkpoint	60.0	Watches & Jewelry	Jewelry - Fine	Approved	60.0	Approve in Full
11887	0729244M	2003-07-29 00:00:00	2003-07-09 00:00:00	SDF	Louisville International		Passenger Property Loss	Checked Baggage	45.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	45.0	Approve in Full
13656	0818010M	2003-08-18 00:00:00	2003-07-26 00:00:00	SDF	Louisville International	USAir	Passenger Property Loss	Checked Baggage	401.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	200.5	Settle
15064	0905004M	2003-09-05 00:00:00	2003-08-11 00:00:00	SDF	Louisville International	Continental Airlines	Passenger Property Loss	Checked Baggage	170.95	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	170.95	Approve in Full
15931	0915026M	2003-09-15 00:00:00	2003-08-20 00:00:00	SDF	Louisville International		Passenger Property Loss	Checked Baggage	189.0	Electronics	Cell Phones	Settled	94.5	Settle
16385	0925227M	2003-09-25 00:00:00	2003-04-08 00:00:00	SDF	Louisville International	Southwest Airlines	Passenger Property Loss	Checked Baggage	27.38	Other	Other	Approved	27.38	Approve in Full
17919	1016039M	2003-10-16 00:00:00	2003-09-09 00:00:00	SDF	Louisville International	American Airlines	Passenger Property Loss	Checked Baggage	60.0	Containers	Luggage (all types including footlockers)	Approved	60.0	Approve in Full
18146	1021019M	2003-10-21 00:00:00	2003-09-19 00:00:00	SDF	Louisville International		Passenger Property Loss	Checked Baggage	87.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	87.0	Approve in Full
19329	1105014M	2003-11-05 00:00:00	2003-09-14 00:00:00	SDF	Louisville International	American Airlines	Passenger Property Loss	Checked Baggage	40.0	Other	Other	Canceled	0.0	
20538	1117272M	2003-11-17 00:00:00	2003-11-13 00:00:00	SDF	Louisville International		Passenger Property Loss	Checked Baggage	1406.62	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	607.31	Settle
21788	1205688M	2003-12-05 00:00:00	2003-11-05 00:00:00	SDF	Louisville International	Northwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Cosmetics	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Denied	0.0	Deny
22847	1217351M	2003-12-17 00:00:00	2003-12-01 00:00:00	SDF	Louisville International		Passenger Property Loss	Checked Baggage	60.0	Containers	Luggage (all types including footlockers)	Denied	0.0	Deny
25100	0114353M	2004-01-14 00:00:00	2003-12-18 00:00:00	SDF	Louisville International	UAL	Passenger Property Loss	Checked Baggage	390.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Settled	195.0	Settle
25647	2005021476099	2004-01-26 00:00:00	2004-12-24 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	1258.74	Electronics	Cameras - Digital	Denied		Deny
30670	2004060154054	2004-03-18 00:00:00	2004-02-18 00:00:00	SDF	Louisville International	Northwest Airlines	Passenger Property Loss	Checked Baggage	82.0	Other	Other	Canceled	0.0	
32570	2004052152938	2004-04-15 00:00:00	2004-03-10 00:00:00	SDF	Louisville International		Passenger Property Loss	Checked Baggage	39.99	Other	Other	Settled	20.0	Settle
34550	2004062256911	2004-05-04 00:00:00	2004-03-12 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	339.0	Other	Other	Settled	169.5	Settle
34697	2004060855132	2004-05-05 00:00:00	2004-04-15 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	492.17	Electronics	Cameras - Digital	Settled	150.0	Settle
35834	2004062757453	2004-05-26 00:00:00	2004-03-29 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	600.0	Other	Other	Denied	0.0	Deny
38684	2004071058956	2004-06-25 00:00:00	2004-06-09 00:00:00	SDF	Louisville International	Northwest Airlines	Passenger Property Loss	Checked Baggage	1959.94	Other	Other	Denied	0.0	Deny
41915	2004090762180	2004-08-05 00:00:00	2004-07-18 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	450.0	Electronics	Cameras - Digital	Settled	112.5	Settle
45962	2004111366920	2004-09-28 00:00:00	2004-08-30 00:00:00	SDF	Louisville International	USAir	Passenger Property Loss	Checked Baggage	30.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Approved	30.0	Approve in Full
46051	2004111366930	2004-09-28 00:00:00	2004-09-24 00:00:00	SDF	Louisville International		Passenger Property Loss	Checkpoint	466.0	Other	Other	Denied	0.0	Deny
48045	2004120768721	2004-10-22 00:00:00	2004-09-01 00:00:00	SDF	Louisville International		Passenger Property Loss	Checked Baggage	2900.0	Watches & Jewelry	Jewelry - Fine	Denied	0.0	Deny
49328	2004112467778	2004-11-05 00:00:00	2004-07-08 00:00:00	SDF	Louisville International	Southwest Airlines	Passenger Property Loss	Checked Baggage	2885.96	Watches & Jewelry	Jewelry - Fine	Denied		Deny
51233	2004122169924	2004-12-07 00:00:00	2004-10-08 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	7.95	Tools & Machines	Locks	Approved	7.95	Approve in Full
51482	2005012274001	2004-12-07 00:00:00	2004-11-27 00:00:00	SDF	Louisville International	Southwest Airlines	Passenger Property Loss	Checked Baggage	235.0	Other	Other	Denied	0.0	Deny
51641	2005010472591	2004-12-10 00:00:00	2004-10-22 00:00:00	SDF	Louisville International		Passenger Property Loss	Checked Baggage	290.0	Clothing & Accessories	Eyeglasses - (including contact lenses)	Approved	290.0	Approve in Full
52177	2005010472501	2004-12-14 00:00:00	2004-12-02 00:00:00	SDF	Louisville International	American Airlines	Passenger Property Loss	Checked Baggage	1199.0	Watches & Jewelry	Jewelry - Fine	Settled	545.44	Settle
52313	2005010572763	2004-12-17 00:00:00	2004-12-01 00:00:00	SDF	Louisville International		Passenger Property Loss	Checkpoint	742.0	Other	Other	Denied	0.0	Deny
53513	2005012574188	2005-01-04 00:00:00	2004-12-28 00:00:00	SDF	Louisville International	USAir	Passenger Property Loss	Checked Baggage	149.99	Other	Other	Denied	0.0	Deny
54257	2005020375623	2005-01-11 00:00:00	2004-11-26 00:00:00	SDF	Louisville International		Passenger Property Loss	Checkpoint	100.0	Clothing & Accessories	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
54339	2005020375582	2005-01-11 00:00:00	2004-11-19 00:00:00	SDF	Louisville International	Southwest Airlines	Passenger Property Loss	Checked Baggage	364.88	Electronics	Stereo Items & Accessories	Settled	156.59	Settle
55523	2005022276514	2005-01-26 00:00:00	2005-01-16 00:00:00	SDF	Louisville International		Passenger Property Loss	Checkpoint	18.5	Other	Other	Approved	18.5	Approve in Full
56010	2005030576977	2005-02-01 00:00:00	2004-11-30 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	30.88	Other	Other	Approved	30.88	Approve in Full
56922	2005031177699	2005-02-09 00:00:00	2004-12-18 00:00:00	SDF	Louisville International	Southwest Airlines	Passenger Property Loss	Checked Baggage	314.98	Electronics	Cameras - Digital	Denied	0.0	Deny
57529	2005031678488	2005-02-16 00:00:00	2005-02-06 00:00:00	SDF	Louisville International	American Airlines	Passenger Property Loss	Checked Baggage	460.0	Containers	Luggage (all types including footlockers)	Settled	153.08	Settle
58636	2005032579814	2005-03-07 00:00:00	2005-01-23 00:00:00	SDF	Louisville International	Delta Air Lines	Passenger Property Loss	Checked Baggage	802.95	Watches & Jewelry	Jewelry - Fine	Denied		Deny
