id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
2948	0225069L	2003-02-25 00:00:00	2003-01-25 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	300.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Settled	150.0	Settle
12327	0801081M	2003-08-01 00:00:00	2003-07-18 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	30.0	Other	Approved	30.0	Approve in Full
23766	0105092M	2004-01-05 00:00:00	2003-12-13 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	11.95	Locks	Denied	0.0	Deny
26086	0130025M	2004-01-30 00:00:00	2004-01-10 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	2472.5	Computer - Laptop	Settled	794.86	Settle
28374	0219667M	2004-02-19 00:00:00	2004-02-04 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	35.0	Other	Settled	17.5	Settle
28761	0226265M	2004-02-26 00:00:00	2004-02-16 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	150.0	Cosmetics - Perfume, toilet articles, medicines, soaps, etc.	Approved	150.0	Approve in Full
29703	2004043050282	2004-03-10 00:00:00	2003-12-17 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	75.0	Clothing - Shoes, belts, accessories, etc.	Approved	75.0	Approve in Full
30326	2004052453129	2004-03-12 00:00:00	2004-02-05 00:00:00	KOA	Kona International		Passenger Property Loss	Checkpoint	14.95	Other	Denied	0.0	Deny
30735	2004051852661	2004-03-18 00:00:00	2004-03-09 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	75.0	Other	Denied		Deny
32899	2004060154065	2004-04-21 00:00:00	2004-02-20 00:00:00	KOA	Kona International	American Airlines	Passenger Property Loss	Checkpoint	460.0	Eyeglasses - (including contact lenses)	Approved	460.0	Approve in Full
33017	2004060354605	2004-04-21 00:00:00	2004-03-26 00:00:00	KOA	Kona International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	126.0	Clothing - Shoes, belts, accessories, etc.	Canceled	0.0	
33799	2004051852792	2004-05-03 00:00:00	2004-03-29 00:00:00	KOA	Kona International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	99.99	Other	Approved	99.99	Approve in Full
34398	2004061655963	2004-05-04 00:00:00	2004-04-16 00:00:00	KOA	Kona International	Alaska Airlines	Passenger Property Loss	Checked Baggage	2010.0	Other	Denied	0.0	Deny
34626	2004061455600	2004-05-05 00:00:00	2004-04-26 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage		Other	Canceled		
35302	2004061756133	2004-05-13 00:00:00		KOA	Kona International		Passenger Property Loss	Checkpoint		Cameras - Digital	Insufficient, one of the following items required: sum certain, statement of fact, signature, location of incident, and date.		
35433	2004062357017	2004-05-18 00:00:00	2004-04-19 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	53.16	Other	Approved	53.16	Approve in Full
35681	2004062256879	2004-05-19 00:00:00	2004-05-12 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checkpoint	1082.5	Jewelry - Fine	Denied	0.0	Deny
37073	2004062857515	2004-06-04 00:00:00	2003-04-07 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	519.58	Cameras - Digital	Approved	519.58	Approve in Full
37205	2004062857593	2004-06-07 00:00:00	2004-04-29 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	20.0	Other	Approved	20.0	Approve in Full
37371	2004070158075	2004-06-08 00:00:00	2004-05-15 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	89.82	Cameras - Digital	Approved	89.82	Approve in Full
37823	2004070458262	2004-06-16 00:00:00	2004-05-01 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	21.88	Other	Approved	21.88	Approve in Full
39200	2004071959708	2004-07-06 00:00:00	2004-05-29 00:00:00	KOA	Kona International	Delta Air Lines	Passenger Property Loss	Checked Baggage	31.96	Other	Denied	0.0	Deny
40759	2004082761518	2004-07-21 00:00:00	2004-06-10 00:00:00	KOA	Kona International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	74.95	Other	Denied	74.95	Deny
41699	2004090762189	2004-08-05 00:00:00	2004-06-29 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	10.83	Locks	Approved	10.83	Approve in Full
42081	2004091062615	2004-08-09 00:00:00	2004-06-29 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	112.0	Cameras - Digital	Denied	0.0	Deny
42755	2004092263544	2004-08-19 00:00:00	2004-07-28 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	8.0	Luggage (all types including footlockers)	Approved	8.0	Approve in Full
42933	2004092964178	2004-08-19 00:00:00	2004-08-09 00:00:00	KOA	Kona International	Air Canada	Passenger Property Loss	Checked Baggage	506.66	Clothing - Shoes, belts, accessories, etc.	Settled	175.52	Settle
43257	2004092763871	2004-08-24 00:00:00	2004-07-20 00:00:00	KOA	Kona International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	2038.91	Jewelry - Fine	Settled	790.89	Settle
43880	2004100664684	2004-09-01 00:00:00	2004-08-11 00:00:00	KOA	Kona International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	72.88	Other	Approved	72.88	Approve in Full
43885	2004111566982	2004-09-01 00:00:00	2004-09-19 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
44304	2004102765763	2004-09-09 00:00:00	2004-07-03 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	628.0	Other	Denied		Deny
44491	2004101364954	2004-09-10 00:00:00	2004-07-15 00:00:00	KOA	Kona International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	600.0	Other	Canceled		
45666	2004120768646	2004-09-23 00:00:00	2004-09-02 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	50.0	Other	Approved	50.0	Approve in Full
47942	2004120568559	2004-10-20 00:00:00	2004-09-03 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	85.98	Other	Settled	74.99	Settle
50050	2004122270397	2004-11-16 00:00:00	2004-10-26 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	20.0	Clothing - Shoes, belts, accessories, etc.	Approved	20.0	Approve in Full
50651	2004122871196	2004-11-23 00:00:00	2004-09-17 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	322.21	Other	Settled	161.11	Settle
52369	2005010672957	2004-12-18 00:00:00	2004-10-31 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	25.88	Other	Approved	25.88	Approve in Full
53394	2005012474151	2005-01-04 00:00:00	2004-10-01 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	13.0	Locks	Approved	13.0	Approve in Full
53572	2005020275327	2005-01-04 00:00:00	2004-12-12 00:00:00	KOA	Kona International		Passenger Property Loss	Checkpoint	129.98	Cameras - Digital	Denied	129.98	Deny
53626	2005012574239	2005-01-04 00:00:00	2004-12-13 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	185.0	Musical Instruments - Other - Over $250	Settled	92.5	Settle
54036	2005012874675	2005-01-11 00:00:00	2004-12-27 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	267.81	Jewelry - Fine	Approved	267.81	Approve in Full
54469	2005013174975	2005-01-14 00:00:00	2004-12-31 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	7.0	Locks	Approved	7.0	Approve in Full
54761	2005020175235	2005-01-18 00:00:00	2004-12-23 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	250.0	Other	Denied		Deny
55445	2005032279350	2005-01-25 00:00:00	2005-01-13 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	10.0	Other	Approved	10.0	Approve in Full
55756	2005022276532	2005-01-27 00:00:00	2005-01-06 00:00:00	KOA	Kona International	Hawaiian Airlines	Passenger Property Loss	Checkpoint	199.5	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
55982	2005030476932	2005-02-01 00:00:00	2004-12-09 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	29.99	Other	Approved	29.99	Approve in Full
56303	2005031177755	2005-02-01 00:00:00	2005-01-16 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	1634.13	Computer - Laptop	Settled	396.55	Settle
56894	2005030977406	2005-02-09 00:00:00	2005-01-14 00:00:00	KOA	Kona International	Hawaiian Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Denied	0.0	Deny
56923	2005031177701	2005-02-09 00:00:00	2005-01-27 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	14500.0	Other	Denied	0.0	Deny
57921	2005032279122	2005-02-24 00:00:00	2005-02-01 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	403.86	Cameras - Digital	Denied		Deny
58358	2005032279251	2005-03-04 00:00:00	2004-12-27 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	683.66	Cameras - Digital	Denied	0.0	Deny
58496	2005032479684	2005-03-07 00:00:00	2005-02-10 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	545.0	Clothing - Shoes, belts, accessories, etc.	Approved	545.0	Approve in Full
59415	2005032980189	2005-03-16 00:00:00	2005-02-05 00:00:00	KOA	Kona International	Air Canada	Passenger Property Loss	Checked Baggage	315.0	Other	Denied	0.0	Deny
59930	2005033180740	2005-03-23 00:00:00	2005-03-02 00:00:00	KOA	Kona International	Northwest Airlines	Passenger Property Loss	Checked Baggage	90.0	Other	Denied	0.0	Deny
60939	2005040681803	2005-04-05 00:00:00	2005-03-26 00:00:00	KOA	Kona International	Aloha Airlines	Passenger Property Loss	Checked Baggage	2414.48	Other	Settled	1151.27	Settle
62896	2005050283788	2005-04-29 00:00:00	2005-04-02 00:00:00	KOA	Kona International	UAL	Passenger Property Loss	Checked Baggage	74.79	Other	Denied	0.0	Deny
63496	2005051084424	2005-05-10 00:00:00	2004-09-13 00:00:00	KOA	Kona International	Northwest Airlines	Passenger Property Loss	Checked Baggage	150.0	Other	Approved	150.0	Approve in Full
64034	2005052085142	2005-05-17 00:00:00	2005-05-04 00:00:00	KOA	Kona International		Passenger Property Loss	Checked Baggage	25.0	Other	Approved	25.0	Approve in Full
64962	2005060785937	2005-05-31 00:00:00	2005-04-30 00:00:00	KOA	Kona International	American Airlines	Passenger Property Loss	Checked Baggage	350.43	Clothing - Shoes, belts, accessories, etc.	Denied	0.0	Deny
