id	claim_number	date_received	incident_date	airport_code	airport_name	airline	claim_type	claim_site	claim_amount	items	status	close_amount	disposition
13179	0813084M	2003-08-13 00:00:00	2003-07-23 00:00:00	ICT	Wichita Mid-Continent	America West	Passenger Property Loss	Checked Baggage	133.58	Clothing & Accessories	Settled	66.79	Settle
13450	0815079M	2003-08-15 00:00:00	2003-07-31 00:00:00	ICT	Wichita Mid-Continent	Continental Airlines	Passenger Property Loss	Checked Baggage	1010.0	Watches & Jewelry	Canceled	0.0	
17055	1002197M	2003-10-02 00:00:00	2003-08-02 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Other	1200.0	Watches & Jewelry	Canceled		
20945	1121034M	2003-11-21 00:00:00	2003-11-01 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checkpoint	200.0	Other	Approved	200.0	Approve in Full
23536	2005012474154	2004-01-04 00:00:00	2004-12-27 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	120.0	Other	Approved	120.0	Approve in Full
24044	0105529M	2004-01-05 00:00:00	2003-12-03 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	120.0	Clothing & Accessories	Settled	50.0	Settle
25442	2005010572869	2004-01-18 00:00:00	2004-11-22 00:00:00	ICT	Wichita Mid-Continent	AirTran Airlines	Passenger Property Loss	Checked Baggage	200.0	Other	Approved	200.0	Approve in Full
28728	0226162M	2004-02-26 00:00:00	2004-02-18 00:00:00	ICT	Wichita Mid-Continent	UAL	Passenger Property Loss	Checked Baggage	1000.0	Watches & Jewelry	Approved	1000.0	Approve in Full
31067	2004050750739	2004-03-24 00:00:00	2004-02-26 00:00:00	ICT	Wichita Mid-Continent	American Eagle	Passenger Property Loss	Checked Baggage	330.0	Other	Approved	330.0	Approve in Full
31221	2004051151176	2004-03-24 00:00:00	2004-03-14 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	367.0	Other	Canceled		
31916	2004051852674	2004-04-01 00:00:00	2004-01-22 00:00:00	ICT	Wichita Mid-Continent	Delta Air Lines	Passenger Property Loss	Checked Baggage	20.0	Tools & Machines	Denied	0.0	Deny
33385	2004060354471	2004-04-21 00:00:00	2004-02-26 00:00:00	ICT	Wichita Mid-Continent	American Airlines	Passenger Property Loss	Checked Baggage	350.0	Clothing & Accessories	Settled	175.0	Settle
33640	2004060153973	2004-04-23 00:00:00	2004-03-14 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	319.0	Other	Settled	158.0	Settle
34158	2004060454750	2004-05-04 00:00:00	2004-03-24 00:00:00	ICT	Wichita Mid-Continent	USAir	Passenger Property Loss	Checked Baggage	200.0	Other	Approved	200.0	Approve in Full
34551	2004071259047	2004-05-04 00:00:00	2004-03-18 00:00:00	ICT	Wichita Mid-Continent	AirTran Airlines	Passenger Property Loss	Checked Baggage	258.0	Clothing & Accessories	Settled	208.0	Settle
34597	2004061455635	2004-05-05 00:00:00	2004-04-08 00:00:00	ICT	Wichita Mid-Continent	Continental Airlines	Passenger Property Loss	Checked Baggage	120.72	Electronics	Approved	120.72	Approve in Full
36028	2004062156682	2004-05-27 00:00:00	2004-05-08 00:00:00	ICT	Wichita Mid-Continent	USAir	Passenger Property Loss	Checked Baggage	420.0	Electronics	Approved	420.0	Approve in Full
36477	2004062256859	2004-05-27 00:00:00	2004-05-01 00:00:00	ICT	Wichita Mid-Continent	Delta Air Lines	Passenger Property Loss	Checked Baggage	380.0	Other	Settled	190.0	Settle
36786	2004062357196	2004-06-03 00:00:00	2004-05-20 00:00:00	ICT	Wichita Mid-Continent	Delta Air Lines	Passenger Property Loss	Checked Baggage	35.0	Other	Approved	35.0	Approve in Full
39556	2004080960836	2004-07-09 00:00:00	2004-01-30 00:00:00	ICT	Wichita Mid-Continent		Passenger Theft	Checked Baggage	159.42	Other	Approved	159.42	Approve in Full
39584	2004081161142	2004-07-09 00:00:00	2004-06-21 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	12.0	Tools & Machines	Approved	12.0	Approve in Full
40192	2004080560684	2004-07-13 00:00:00	2004-06-29 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	630.0	Clothing & Accessories	Settled	315.0	Settle
40311	2004080960749	2004-07-15 00:00:00	2004-06-30 00:00:00	ICT	Wichita Mid-Continent	Northwest Airlines	Passenger Property Loss	Checked Baggage	250.0	Watches & Jewelry	Settled	125.0	Settle
40498	2004072860158	2004-07-20 00:00:00	2004-05-31 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Approved	300.0	Approve in Full
40789	2004091062584	2004-07-21 00:00:00	2004-06-26 00:00:00	ICT	Wichita Mid-Continent	Delta Air Lines	Passenger Property Loss	Checked Baggage	275.0	Other	Settled	137.5	Settle
41725	2004090962466	2004-08-05 00:00:00	2004-07-15 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	49.99	Other	Approved	49.99	Approve in Full
43132	2004092864023	2004-08-24 00:00:00	2004-07-25 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	5343.0	Watches & Jewelry	Canceled	0.0	
43404	0212234M	2004-08-27 00:00:00	2004-07-10 00:00:00	ICT	Wichita Mid-Continent	Delta Air Lines	Passenger Property Loss	Checked Baggage	20.0	Containers	Approved	20.0	Approve in Full
45340	2004101965134	2004-09-20 00:00:00	2004-07-09 00:00:00	ICT	Wichita Mid-Continent	AirTran Airlines	Passenger Property Loss	Checked Baggage	318.9	Watches & Jewelry	Approved	318.9	Approve in Full
46018	2004110466324	2004-09-28 00:00:00	2004-09-07 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checkpoint	200.0	Other	Denied	0.0	Deny
48369	2004121769220	2004-10-27 00:00:00	2004-08-13 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	24.43	Clothing & Accessories	Approved	24.43	Approve in Full
48888	2004121769197	2004-11-02 00:00:00	2004-10-11 00:00:00	ICT	Wichita Mid-Continent	AirTran Airlines	Passenger Theft	Checked Baggage	534.53	Electronics	Settled	262.3	Settle
49740	2004122170160	2004-11-10 00:00:00	2004-10-17 00:00:00	ICT	Wichita Mid-Continent	Northwest Airlines	Passenger Property Loss	Checked Baggage	300.0	Clothing & Accessories	Denied	0.0	Deny
51012	2004122971743	2004-12-01 00:00:00	2004-11-12 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checkpoint	250.0	Watches & Jewelry	Denied	0.0	Deny
51329	2005010472719	2004-12-07 00:00:00	2004-11-28 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	114.5	Clothing & Accessories	Approved	114.5	Approve in Full
51638	2005010472553	2004-12-10 00:00:00	2004-09-30 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	70.0	Other	Approved	70.0	Approve in Full
53215	2005021075913	2004-12-29 00:00:00	2004-12-13 00:00:00	ICT	Wichita Mid-Continent	Continental Airlines	Passenger Property Loss	Checked Baggage	176.0	Clothing & Accessories	Denied	0.0	Deny
53959	2005012774599	2005-01-10 00:00:00	2004-11-29 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	149.17	Other	Denied	0.0	Deny
54143	2005020375602	2005-01-11 00:00:00	2005-01-03 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	109.95	Other	Canceled		
54197	2005020275364	2005-01-11 00:00:00	2004-12-28 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	600.0	Clothing & Accessories	Denied	0.0	Deny
54236	2005020375564	2005-01-11 00:00:00	2004-12-27 00:00:00	ICT	Wichita Mid-Continent		Passenger Property Loss	Checked Baggage	560.0	Other	Denied	0.0	Deny
